Residuals
0.0094682640
-0.1347741000
0.3097257000
-0.1248511000
-0.04652765
-0.2331859
-0.01987644
-0.0814704
0.01023107
0.05339383
0.578357
-3.54673E-05
-0.4636473
0.04190134
-0.03216722
0.007252645
-0.02448645
-0.09324234
-0.008108957
0.1424642
-0.08123403
-0.07130865
0.009537547
0.09251425
